word	phone
paa	pˈɑː
nnipa	nnˈipa
tsir	tsˈir
abae	abˈae
wɔreka	werˈeka
nkyɛnse	nçjjansˈe
anyinam	ˈaɲinˈam
kura	kˈura
nkorofoɔ	ncoɾofoˈe
apampam	apampˈam
kaas	kˈɑːs
ekyir	ekjˈir
mmayewa	mmajˈewa
kɛtɛ	cˈeltt͡s
afuom	afwˈom
wɔredzidzi	wˈeredzˈidzi
asopiti	asopˈiti
nkonnwa	ncˈonnwa
nkramofo	nkramˈofo
ɔbaatan	ebaˈatan
ɔwɔ	ˈewˈe
laptɔp	laptˈep
retwa	rˈetwa
galɔn	ɡalˈen
akoto	akˈoto
wɔyi	wˈeji
ɔbɔ	ebˈæ
ahenemma	ahenˈemma
ngo	nɡˈo
wɔresaw	wˈeresˈaw
kɔla	ceɫˈa
enyim	eɲˈim
carrot	karrˈot
soro	sˈoro
ɔsi	esˈi
edua	edwˈa
aka	ˈaka
wɔde	wˈede
ɔreka	erˈeka
bako	bˈako
adwuma	adwˈuma
muhu	mˈuxu
mmenyinfo	mmeɲˈinfo
ahataw	ahˈataw
banner	bˈɑnner
ɔma	ˈema
borɔdeɛ	boɾedˈet͡s
ɔsono	esˈono
foforɔ	fofˈoɾe
ndwom	ndwˈom
ɛbea	ɕbˈea
po	pˈo
besia	bˈesja
different	different
ahwehwɛ	ahwˈehwɑq
ayarehwɛ	ajaɾˈehwe
dɔm	dˈem
nabɔdwe	nabˈedwe
ɔte	ˈete
pepa	pˈepa
wɔtɔn	wetˈen
mboframba	mbofrˈamba
kwadu	kwˈadu
ɔrehwie	erˈehwi
ɔdi	ˈedi
wɔafura	wˈæafˈura
flowers	floːwərs
agudie	aɡˈudie
tsetse	tsˈetse
soronko	sorˈonko
lɔri	lerˈi
barima	barˈima
esi	ˈesi
shoe	ʃˈu
kotokoto	kotokˈoto
nhyiamu	nhjiˈamu
egyina	eɟjˈina
apata	apˈata
mirika	mirˈika
mma	mmˈa
ɛhyɛ	ˈeɕhjz
aduaba	aduˈaba
aborɔfoɔ	aboɾefoˈe
ɔkyerɛkyerɛnii	eçjerçjerærxnˈii
ɛne	ænˈe
afuw	afˈuw
na	nˈa
mpata	mpˈata
wn	wˈen
ɔsoa	esoˈa
ɛsi	qsˈi
toy	tˈoj
ahodoɔ	ahodˈoˈe
hanom	hanˈom
apampa	apˈampa
nnipadɔm	nnipadˈem
wɔapaake	wˈæapˈaːke
ɛgyinagyina	ˈeɕjinaɟjˈina
yɛn	jˈæn
ɛdeda	qdedˈa
ketewa	ketˈewa
kɔba	cebˈa
atam	atˈam
ɛpon	qpˈon
dwam	dwˈɑm
mfuturo	mfutˈuro
ɔmo	ˈemo
ɛdɔm	qdˈæm
tea	tˈea
wogyinagyina	wˈoɡjinɑɡjˈina
rebu	rˈebu
ɛno	qnˈo
biibi	bˈiːbi
atwedeɛ	atwedˈez
renante	renˈɑnte
asɔredan	aseredˈan
plate	plˈate
yɛkyerɛ	jæçjˈerts
sɛdeɛ	seldˈet͡s
kusuu	kusˈyu
nkwadaa	nkwadˈɑː
naaaa	naɑˈɑɑ
ɔsraani	esraˈani
mono	mˈono
nakyi	nˈakji
mfoni	mfˈoni
ɛmɛɛma	t͡sˈæmqætsmˈa
pool	pˈoːl
asrafoɔ	asrafˈoe
reba	rˈeba
asiesie	asiˈesie
ɔtsena	etsˈena
retie	rˈetje
ℇpono	kˈapˈono
ahomegyebea	ahomeɟjebeˈa
aban	abˈan
ɛmmaa	t͡ɕmmˈɑɑ
ahoroɔ	ahoɾˈoˈe
famu	fˈamu
nhoma	nhˈoma
ampesie	ampesiˈe
regu	rˈeɡu
sikakɔkɔɔ	sicacecˈeˈe
mfidie	mfˈidi
foɔ	foˈe
amona	amˈona
kɔn	cˈen
maa	mˈɑː
ntaare	ntaˈare
agorɔ	aɡˈoɾe
mbɔfra	mbˈæfra
ɔresere	eɾesˈere
deɛ	dˈet͡s
asisi	asˈisi
turu	tˈuru
nyipa	ɲˈipa
nso	nsˈo
dondo	dˈondo
agu	ˈaɡu
wɔtontɔn	wetontˈen
da	dˈa
akwantufoɔ	akwantufoˈe
hann	hˈɑnn
konko	kˈonko
wɔretwɛn	weɾˈetwæxn
nabati	nabˈati
bags	bˈɑʁs
asraafo	asrˈaːfo
nohwaa	nohwˈɑː
apono	apˈono
osisi	osˈisi
wɔwɔ	wˈewæ
abibire	abibˈire
ɔtena	etˈena
gye	ɡjˈe
nafa	nˈafa
ahyɛnsodeɛ	ahjjensodˈez
beenu	bˈeːnu
dwuma	dwˈuma
mmiensa	mmjˈensa
bɔɔlo	beæɫˈo
efie	efˈi
nsrahwɛ	nsrˈahwəl
no	nˈo
ɔhene	ehˈene
kɔnmuadeɛ	cenmuadˈez
abaamua	abˈaːmua
nyɛma	njˈæt͡sma
wɔakyerɛw	wɛaçjerˈew
board	boˈard
asogyafoɔ	asoɟjafˈoe
abaatan	abaˈatan
akwanhyia	akwˈanhjia
ɔyɛ	ˈejt͡s
dedam	dedˈɑm
akyekyere	akjekjˈere
aborɔbɛ	aboɾˈebts
dan	dˈan
akɛse	açssˈe
mehu	mˈehu
ti	tˈi
agor	aɡˈor
ntaaboo	ntɑːbˈoː
yɛaka	jt͡ɕˈaca
wayi	wˈaji
nketewa	nketˈewa
kyineɛ	kjinˈet͡s
bere	bˈere
kɔmmuadeɛ	cemmuadˈez
ɛkor	ˈeqˈor
temamufoɔ	temamufoˈe
ɛsono	qsˈono
flag	flˈɑʁ
ntsi	ntsˈi
asepatere	asepatˈere
fɛɛfɛɛfɛ	fˈet͡seft͡sˈefˈe
yɔnko	jˈænco
basabasayɛ	basabasˈajæ
ebusua	ebuswˈa
ɛsan	qsˈan
ekura	ekˈura
reflector	reflˈektor
nea	nˈea
akyekyer	akjˈekjer
nkwanhyia	nkwˈanhjia
rehohoro	rehohˈoro
nkotodwe	ncotˈodwe
abɛ	ˈabats
abibifoɔ	abibifˈoe
agya	ˈaɡja
dadepɔnkɔ	dadepæncˈe
kurakura	kurakˈura
nkyen	nkjˈen
adidipono	adidipˈono
nsuhyɛn	nsˈuhjjan
nie	nˈi
ɛkoro	ˈeqorˈo
ɔpono	epˈono
trɔtrɔ	trˈetrˈe
tablet	tˈablet
atoto	atˈoto
wɔasi	wæˈasi
tsenatsena	tsenatsˈena
naso	nˈaso
natadeɛ	natadˈez
retwi	rˈetwi
sofa	sˈofa
nkorɔfokuo	ncoɾefokˈuo
fo	fˈo
atoyerɛnkyɛm	atojert͡snçjˈæm
adekorɔ	adecˈoɾe
abiesa	abjˈesa
srɛ	ˈesˌert͡ɕˈe
concrete	konkrˈete
ɔrepia	erepˈia
abue	abˈue
esisi	esˈisi
apɔmuden	apemˈuden
gyinagyina	ɟjinɑɟjˈina
ekuw	ekˈuw
abaayewa	abaajˈewa
krataa	kratˈɑɑ
nensa	nˈensa
asɛe	astsˈe
abrante	abrˈante
tententen	tentˈenten
afadeɛ	afadˈez
atar	ˈatar
nkatasoɔ	ncatasˈoˈe
akɔkɔɔ	acecˈeˈe
akonnwa	aqˈonnwa
ogyina	oɟjˈina
nneema	nnˈeːma
koropɔɔto	coɾopeætˈo
ↄde	eːdˈe
wo	wˈo
wɔredi	werˈedi
colours	kolˈours
akyire	akjˈire
ewuraba	ˈewurˈaba
ya	jˈa
dada	dˈada
truck	trˈukk
efi	ˈefi
picture	piktˈure
nkaafo	nkˈaːfo
ɛnhyɛ	jˈenhjˈe
abutu	abˈutu
resere	resˈere
aduru	adˈuru
fofor	fofˈor
anya	ˈaɲa
nkurɔfoɔ	ˈencuɾefoˈe
ato	ˈato
nkɔlaa	nceɫˈaː
nom	nˈom
kɔpo	cepˈo
round	rˈound
afasuo	afasˈuo
aborɔsan	aboɾˈesan
afu	ˈafu
aketesia	akˈetesˈia
abu	ˈabu
deda	dˈeda
abɛɛfo	abt͡stfˈo
nnam	nnˈam
ɛreyɛ	qˈejæ
ahwenneɛ	ahwennˈez
agoro	aɡˈoro
mehunu	mehˈunu
kot	kˈot
afɔ	afˈe
adesuafoɔ	adeswafoˈe
tɔn	tˈen
dam	dˈam
wokitsa	wokˈitsa
mpataa	mpatˈɑɑ
ahoma	ahˈoma
amammerɛ	amammˈerts
berɛ	bˈert͡s
nnuadan	nnwˈadan
laptop	lˈɑptop
wɔretu	werˈetu
adwumayɛfo	adwumajælfˈo
ɛsɛn	ˈeqst͡sˈen
hyɛ	hjz
wɔso	wˈeso
adziban	adzˈiban
beaɛ	bˈeajz
adansifoɔ	adansifˈoe
ɔkasa	ecˈasa
pot	pˈot
mic	mˈik
wɔresua	wˈereswˈa
wɔn	wˈen
wɔakyekyere	wˈæaːkjekjˈere
kamara	kamˈɑrɑ
mpɔnkɔ	ˈempæncˈe
ayarefo	ajarˈefo
akyɛ	ˈaçjz
ɛresi	qresˈi
angwa	ˈanɡwa
wɔkita	wekˈita
afir	afˈir
ɔno	ˈeno
fra	frˈa
aman	amˈan
wɔdi	wˈedi
ↄbaa	eːbˈɑː
adwabɔ	adwˈabe
aboduaba	aboduˈaba
tae	tˈae
wɔm	wˈem
besiaba	besjˈaba
gyina	ɟjˈina
yɛatwerɛ	jæt͡ɕˈatwert͡s
tshirt	tʃˈirt
aa	ˈɑː
robɔ	robˈe
nkrɔfo	nçrˈefo
nkurɔfo	ˈencuɾˈefo
nwusie	nwˈusie
adeɛ	adˈet͡s
petee	petˈee
fufuo	fˈufwo
summiiɛ	summˈii
nenan	nˈenan
kasafidie	kasafˈidie
nu	nˈu
park	pˈark
wim	wˈim
tiri	tˈiri
baanan	bɑːnˈan
wɔsane	wesˈane
wɔahyehyɛ	wæahjˈehjæz
rema	rˈema
afa	ˈafa
fɛɛfɛ	fˈeqˈefˈetsˈe
poma	pˈoma
kyerɛ	kjˈert͡s
abɔfra	abˈæfra
kɛntɛn	cˈejntjˈen
waka	wˈaka
akwantufo	akwantˈufo
agyananbea	aɟjananbˈea
nkonwa	ncˈonwa
atwa	ˈatwa
ɛrebɔ	ˈeærebˈe
nnua	nnwˈa
ɔrehyehyɛ	eɾehjˈehjæ
tokuro	toqˈuro
wɔ	wˈe
panels	panˈels
ababaawa	abˈabaˈawa
bi	bˈi
gum	ɡˈum
amena	amˈena
mbanyin	mbˈaɲin
ayarefoɔ	ajaɾefoˈe
mfitaa	mfitˈɑː
mmaa	mmˈɑː
wɔreyi	werejˈi
steps	stˈeps
biribi	birˈibi
panel	panˈel
nsa	nsˈɑ
mmɔfra	mmˈæfra
bɔɔdo	beˈedo
hyɛn	hjjxˈen
ɔrokɔ	eɾocˈe
maame	mɑːme
hwene	hwene
dadze	dˈadze
nti	ntˈi
glaase	ɡlˈɑːse
se	sˈe
tent	tˈent
nnuane	nnwˈane
natar	nˈatar
atuu	atˈuː
foforo	fofˈoro
tuo	tˈuo
atere	atˈere
moma	mˈoma
ko	kˈo
hyiadan	hjijˈadan
ndur	ndˈur
motor	mˈotor
tuntun	tˈuntun
yɛtɔn	jætˈen
tuntumfoɔ	tuntumfoˈe
tirim	tˈirim
ɛtwa	qˈetwˈa
ɔnye	ˈeɲe
obi	ˈobi
mbenyin	mbeɲˈin
adesuafo	adeswˈafo
nsia	nsjˈa
kurow	kˈurow
pen	pˈen
forɔeɛ	foɾeˈet͡s
twe	twˈe
abusua	abˈuswa
agodie	aɡˈodi
nnipakuw	nnipˈakuw
mmarima	mmarˈima
wɔredidi	wˈeredˈidi
kyen	kjˈen
nwhiren	nwhˈiren
bɛn	bˈejˈen
ɔbeako	ebeˈaco
atadeɛ	atadˈez
awo	ˈawo
nasen	nˈasen
mbɔframba	mbæfrˈamba
kyim	kjˈim
ɛgu	qɡˈu
boot	bˈoːt
teaseɛnam	teaseçnˈam
sukuufoɔ	sucˈuufoˈe
sensan	sensˈan
fi	fˈi
ahosu	ahˈosu
nnwom	nnwˈom
aborosan	aborˈosan
gyata	ɟjˈata
aduane	aduˈane
ɛnim	dˈenˈim
ntoosi	ntˈoːsi
mango	mˈanɡo
reserew	reserˈew
ɛfidie	æfˈidiˈe
nkosua	ncoswˈa
nnɔtedan	ˈennetedˈan
retwam	retwˈɑm
ɛretu	qrˈetu
bɔ	bˈe
asɛm	ˈaslm
ntaade	ntɑˈɑde
abo	ˈabo
nwiram	nwirˈam
redzidzi	redzˈidzi
ɔredi	erˈedi
mmia	mmjˈa
ahondze	ahˈondze
yɛahyehyɛ	jt͡sahjˈehjz
ntar	ntˈar
orange	orˈanɡe
sepɛɛse	sept͡sˈese
mfonini	mfonˈini
bukyia	bˈuqjia
mmoframa	mmofrˈɑma
nkramofoɔ	nçramofˈoe
natare	natˈare
ebaasa	ebˈaːsa
ka	kˈa
firafira	firafˈira
akyirikyiri	akjirikjˈiri
hwɛ	hwˈe
ɛɛsa	t͡ɕˈæt͡ssˈa
wɔasosɔ	wæasˈose
nnɔteɛ	ˈennetˈet͡s
wɔretwe	werˈetwe
solar	soɫˈar
wɔapenti	wˈæapˈenti
mmarimaa	mmˌarimˈɑɑ
ntɔkwa	ntˈekwa
nhyɛ	nhjˈe
afahyɛ	afˈahjz
wɔrehim	werˈehim
dwabɔ	dwˈabˈe
nose	nˈose
nson	nsˈon
mboa	mbˈoa
mmienu	mmjˈenu
nenkyɛn	nˈençjjan
resesa	resˈesa
reyi	rˈeji
wɔretɔn	weɾetˈen
mbenyimfo	mbeɲˈimfo
wɔne	wˈene
kɔɔpo	ceæpˈo
hyia	hjˈia
gyinabea	ɟjinabˈea
bibinii	bˌibinˈiː
anan	ˈanan
addo	ˈaddo
wɔhyɛ	wˈehjz
bepɔ	bepˈe
ayiri	ajˈiri
ahuri	ahˈuri
nekyi	nˈekji
wɔtse	wˈetse
sereɛ	serˈet͡s
ɛrekɔ	ˈeçrecˈe
edan	edˈan
abɔ	abˈe
polisifoɔ	polisifˈoe
mako	mˈako
ɛɛbɔ	t͡ʃˈelbˈe
ɛbɛn	ˈeɕbˈen
anwea	anwˈea
abom	abˈom
ɛnso	jˈensˈo
flawɛs	flˈawæxs
ɔmoo	emˈoo
ɛtam	jetˈam
mpanin	mpanˈin
watwa	wˈatwa
hyɛma	hjjtsmˈa
ahyɛ	ˈahjz
microphone	mikrophˈone
bibre	bˈibre
fufu	fufˈu
kama	kˈɑma
ɔmu	ˈemu
wɔaba	wæˈaba
hu	hˈu
ballot	bˈɑɫot
nkrataa	nkratˈɑɑ
kyenku	kjˈɛnku
top	tˈop
egyinagyina	eɟjinɑɟjˈina
afi	ˈafi
bankum	bˈɑnkum
ɛkeka	eqcˈeca
moto	mˈoto
efidie	efˈidje
ɛkwan	qˈækwˈan
aduan	adwˈan
kɔsi	cesˈi
tu	tˈu
ɛkuta	æcutˈa
kaar	kˈɑːr
buuku	bˈyːku
paya	pˈaja
rehwɛ	rˈehwɒɕ
abammɔfoɔ	abammefoˈe
ayowa	ajˈowa
anɛɛsefoɔ	ant͡slsefoˈe
ni	nˈi
ntaareɛ	ntaarˈet͡s
yahyehyɛ	jahjˈehjæz
fɛɛfɛɛ	fˈet͡ʃˈeft͡sˈe
wɔasisi	wæasˈisi
ɛboɔ	ɕboˈe
fɛɛfɛw	fˈeqˈefˈew
kɔɔpoo	ceepˈoo
ahenfo	ahˈenfo
mbɛrema	ˈembˈeremˈa
wheel	wiəl
amoamoa	amoamˈoa
asɛ	ˈasts
ɛbɛyɛ	ˈeɕbˈejjˈe
ne	nˈe
carpet	karpˈet
resu	rˈesu
nanim	nˈanim
kar	kˈar
yellow	jˈellow
kamakama	kˌamɑkˈɑma
ogu	ˈoɡu
ntoma	ntˈoma
te	tˈe
ɛwɔ	qwˈe
coat	koˈat
abi	ˈabi
atentenatenten	atˈentenatˈenten
pear	pˈear
red	rˈed
wɔrebɔ	weɾˈebˈe
asɛnnibea	astsnibeˈa
beaeɛ	beaˈez
book	bˈʊk
akuntunu	akuntˈunu
mfonin	mfonˈin
nyimpadɔm	ɲimpadˈem
wokura	woqˈura
nam	nˈam
ɛredidi	ˈeqredidˈi
adwa	ˈadwa
nakoko	naqˈoko
nim	nˈim
nkorɔfoɔ	ncoɾefoˈe
ɔpon	epˈon
pɛɛ	pˈet͡sˈet
ghana	ɡhˈana
ɔkasamu	ecasˈamu
naaa	nɑˈɑ
ahahammono	ahaxammˈono
nkron	nkrˈon
wɔretɔ	weɾˈetˈe
ↄdan	eːdˈan
kor	kˈor
dɔte	dˈete
gu	ɡˈu
nua	nwˈa
polisifo	polisˈifo
wɔkutakuta	wˈecutakˈuta
paake	pˈɑɑke
brown	brˈown
donno	dˈonno
nnoɔma	nnoˈema
nkyɛnkyɛn	ˈençjjançjˈæn
kotokuo	kotokˈuo
campaign	kampa͡ɪɡn
enyi	ˈeɲi
tenten	tˈenten
ɔhwɛ	ˈehwˈe
wa	wˈa
nnwoma	nnwˈoma
kora	kˈora
afie	afˈi
hɔ	hˈe
wɔrehohoro	wˈerehohˈoro
nketenkete	nketenkˈete
kyiniiɛ	kjinˈii
afiri	afˈiri
fira	fˈira
ɛka	cˈa
enyiwa	eɲˈiwa
atuntumfoɔ	atuntumfoˈe
anhwea	anhwˈea
fii	fˈii
mmarimma	mmarˈimma
kwan	kwˈɑn
ma	mˈa
aboɔ	abˈoˈe
sa	sˈa
ɔreserew	eɾeserˈew
mu	mˈu
marsk	mˈɑrsk
kata	kˈata
nwura	nwˈura
ↄhyɛ	ˈehjˈe
abaasa	abˈaːsa
nahofasuo	nahofasˈuo
yi	jˈi
anaasɛ	anaˈass
water	wˈater
ɔrekyerɛkyerɛ	eɾeçjerççjˈerç
benyin	beɲˈin
nahaban	nahˈɑban
nkaeɛ	ncaˈez
kyɛw	kjˈɑjw
ɔka	ˈeca
ara	ˈara
reyɛ	rˈejt͡s
wakoto	wakˈoto
asensɛn	asˈenst͡sn
ahabammono	ahabammˈono
nnuro	nnˈuro
num	nˈum
dwumadie	dwumˈadie
abrɔfo	abrˈefo
wafa	wˈafa
ho	hˈo
kyɛn	çjjˈan
samina	samˈina
nkwaraa	nkwɑrˈɑɑ
nos	nˈos
bobɔbobɔ	bobebˈobe
mpa	mpˈa
fidie	fˈidje
baa	bˈɑː
camera	kamˈera
aso	ˈaso
aberanteɛ	aberantˈet͡s
fɛ	fˈet͡ɕ
abofraba	abofrˈaba
mfimfin	mfimfin
kyerɛkyerɛni	çjerçjertsnˈi
ɔkura	ecurˈa
badwam	badwˈam
mienu	mjˈenu
dadesɛn	dadˈest͡sn
kakraka	kɑqrˈɑqɑ
ɛhɔ	ˈeqhˈe
nhwiren	nhwˈiren
nte	ntˈe
amaamefoɔ	amaamefoˈe
sogyani	soɡjˈani
nkɔmmɔ	ncˈæmmˈe
kodoɔ	codˈoˈe
wɔyɛ	wˈejz
bu	bˈu
ahahan	ahˈahan
mmɛma	mmlmˈa
kɛse	cˈæqsˈe
rebɔ	rebˈæ
ekyi	ˈekji
fɛfɛɛfɛ	fˈeft͡sˈeffˈe
wapegya	wapˈeɟja
dwadibea	dwˈadibˈea
ɛkasa	ˈelcˈasa
abayewa	abajˈewa
afunumu	afunumˈu
resi	rˈesi
penyin	peɲˈin
ɛso	qsˈo
mmaayewa	mmɑɑjˈewa
mpanyinfo	mpaɲˈinfo
ɛsensɛn	qsˈenst͡sn
ahyiamu	ahjiˈamu
nnipakuo	nnipakˈuo
mua	mwˈa
ɛresere	ˈelere
wɔtu	wˈetu
efir	efˈir
ahwehwɛnyiwa	ahwˈehwæqɲˈiwa
apue	apˈue
bus	bˈus
ɛwom	qwˈom
wɔresi	werˈesi
wɔkitakita	wˈekitakˈita
wɔatwerɛ	wɛˈatwert͡s
cars	kˈɑrs
ɛyɛ	ˈejjz
nika	nˈika
borɔde	boɾˈede
ahemfo	ahˈemfo
oburonin	oburonˈin
ntam	ntˈam
abatoɔ	abatˈoˈe
usa	ˈusa
nipadɔm	nipadˈem
ɛsrɛ	ˈeqˌesrˈet͡ʃ
dedadeda	dedadˈeda
wabae	wˈabaˈe
firi	fˈiri
wɔapagya	wæˈapaɟjˈa
nante	nˈante
wɔkura	wecˈura
tse	tsˈe
mmɔframa	mmæfrˈama
ɛdan	qdˈan
anyiwa	aɲˈiwa
koto	kˈoto
wɔapagyapagya	wæˈapaɟjapˈaɟja
akwaraa	akwarˈɑɑ
abien	abjˈeŋ
ɔrekɔ	eɾecˈe
bebrebee	bebrebiˈe
ɛredi	qredˈi
sene	senˈe
akyerɛ	açjˈerts
abomu	abˈomu
jeans	d͡ʒiˈans
nenam	nenˈam
shirt	ʃˈirt
bobɔ	bˈobˈe
wɔrehwɛ	weɾˈehwəq
ɛsisi	qsisˈi
fɛw	fˌeqˌewˈe
ɔretwerɛ	eɾetwˈert͡s
etu	ˈetu
wɔretie	werˈeti͡e
nwoma	nwˈoma
nnɛteɛ	ˈennet͡ʃtˈet͡s
sogyafoɔ	soɟjafˈoe
tweneɛ	twenˈet͡s
wɔhwɛ	wˈehwˈe
pono	pˈono
ɔregye	erˈeɟje
kotoku	kotˈoku
wɔafa	wɛˈafa
ahenkyɛ	ahˈençjz
mmrɔfo	ˈemmrˈefˈo
ntaabodan	ntɑːbodˈan
kwaeɛ	kwˈa͡ɪz
wɔreba	werˈeba
mask	mˈɑsk
mfonyin	mfoɲˈin
ahabanmono	ahabanmˈono
ɔresaw	ˈeɾesˈaw
ɔbɛrima	ebtsrimˈa
cabinet	kabinˈet
nneɛma	nnˈet͡sma
okura	oqˈura
wɔkurakura	wˈecurakˈura
adɔkotafoɔ	adecotafoˈe
sundze	sˈundze
sumiɛ	sumˈið
dɛɛ	dˈet͡ɕˈe
ɔbaa	ebˈaː
nnuaba	nnwˈɑba
abubu	abˈubu
ahabanmon	ahabanmˈon
baako	bɑːko
ɛntoma	jentomˈa
akoko	akˈoko
ɛgyina	ɕɟjˈina
nkyɛnsee	nçjjansˈeː
yie	jˈi
ababaa	ababˈɑː
nani	nˈani
ɔkoto	ecˈoto
nhwehwɛmu	nhwˈehwəqmu
biara	bjˈara
amanyɔsɛm	amanjˈessem
rehyɛ	rˈehjz
mbɛɛma	ˈembjetsmˈa
ɛfa	ɕfˈa
mbaa	mbˈɑː
wɔaboa	wˈæabˈoa
ɛfam	ɕfˈam
